Year,MSHA ID,Deerlick Mine,Production,Labor_Hours
2013,103381,Tacoa Highwall Miner,"56,004","22,392"
2013,103404,Reid School Mine,"28,807","28,447"
2013,100759,North River #1 Underground Min,"1,440,115","474,784"
2013,103246,Bear Creek,"87,587","29,193"
2013,103451,Knight Mine,"147,499","46,393"
2013,103433,Crane Central Mine,"69,339","47,195"
2013,100329,Concord Mine,0,"144,002"
2013,100851,Oak Grove Mine,"2,269,014","1,001,809"
2013,102901,Shoal Creek Mine,0,"12,396"
2013,102901,Shoal Creek Mine,"1,453,024","1,237,415"
2013,103180,Sloan Mountain Mine,"327,780","196,963"
2013,103182,Fishtrap,"175,058","87,314"
2013,103285,Narley Mine,"154,861","90,584"
2013,103332,Powhatan Mine,"140,521","61,394"
2013,103375,Johnson Mine,580,"1,900"
2013,103419,Maxine-Pratt Mine,"125,824","107,469"
2013,103432,Skelton Creek,"8,252",220
2013,103437,Black Warrior Mine No 1,"145,924","70,926"
2013,102976,Piney Woods Preparation Plant,0,"14,828"
2013,102976,Piney Woods Preparation Plant,0,"23,193"
2013,103380,Calera,0,"12,621"
2013,103380,Calera,0,"1,402"
2013,103422,Clark No 1 Mine,"122,727","140,250"
2013,103467,Helena Surface Mine,"59,664","30,539"
2013,101247,No 4 Mine,"2,622,528","1,551,141"
2013,101401,No 7 Mine,"5,405,412","2,464,719"
2013,103172,"Searles Mine No. 2, 3, 4, 5, 6","258,078","119,542"
2013,103179,Fleetwood Mine No 1,"75,937","63,745"
2013,103303,Shannon Mine,"317,491","164,388"
2013,103323,Deerlick Mine,"133,452","46,381"
2013,103364,Brc Alabama No. 7 Llc,0,"14,324"
2013,103436,Swann's Crossing,"137,511","77,190"
2013,100347,Choctaw Mine,"537,429","215,295"
2013,101362,Manchester Mine,"219,457","116,914"
2013,102996,Jap Creek Mine,"375,715","164,093"
2013,103155,Corinth Prep Plant,0,"27,996"
2013,103155,Corinth Prep Plant,0,"51,994"
2013,103195,Mccollum/Sparks Branch Mine,"71,910","17,411"
2013,103342,Reese's Branch Mine,"263,888","115,123"
2013,103370,Cresent Valley Mine,"2,860",621
2013,103372,Cane Creek Mine,"66,258","32,401"
2013,103376,Town Creek,"299,167","176,499"
2013,103389,Carbon Hill Mine,"76,241","84,966"
2013,103410,Coal Valley Mine,"407,841","158,591"
2013,103423,Dutton Hill Mine,"37,275","9,162"
2013,1519322,Ghm #25,"25,054","3,108"
2013,103321,Poplar Springs,"189,370","76,366"
2013,103358,Old Union,"284,563","161,805"
2013,5000030,Usibelli,"1,631,584","286,079"
2013,201195,Kayenta Mine,"7,602,722","1,015,333"
